english,japanese
I,私
you,あなた
he,彼
she,彼女
it,それ
we,私たち
they,彼ら
me,私を
him,彼を
her,彼女を
us,私たちを
them,彼らを
my,私の
your,あなたの
his,彼の
her (possessive),彼女の
its,それの
our,私たちの
their,彼らの
myself,私自身
yourself,あなた自身
what (determiner),何の
what (pronoun),何
when (adverb),いつ
when (conjunction),いつ
when (pronoun),いつ
where (adverb),どこに
where (conjunction),どこに
which (determiner),どの
which (pronoun),どちら
who,誰
why,なぜ
how,どのように
a,一つの
the,その
all (determiner),すべての
all (pronoun),すべて
some (determiner),いくらかの
some (pronoun),いくらか
any (determiner),いくらかの
any (pronoun),いくらか
every,すべての
each (determiner),それぞれの
each (pronoun),それぞれ
no,いいえ
other (adjective),他の
other (pronoun),他
another (determiner),もう一つの
another (pronoun),もう一つ
family,家族
mother,母
father,父
mum,お母さん
dad,お父さん
parent,親
baby,赤ちゃん
child,子供
son,息子
daughter,娘
brother,兄弟
sister,姉妹
grandfather,祖父
grandmother,祖母
grandparent,祖父母
aunt,おば
uncle,おじ
cousin,いとこ
husband,夫
wife,妻
friend,友達
boyfriend,ボーイフレンド
girlfriend,ガールフレンド
partner,パートナー
neighbour,隣人
member,メンバー
group,グループ
team,チーム
customer,顧客
man,男性
woman,女性
boy,男の子
girl,女の子
person,人
people,人々
adult,大人
teenager,ティーンエイジャー
body,体
head,頭
face,顔
eye,目
ear,耳
nose,鼻
mouth,口
tooth,歯
hair,髪
hand,手
arm,腕
leg,脚
foot,足
health,健康
healthy,健康な
sick,病気の
cold (illness),風邪
doctor,医者
nurse,看護師
hospital,病院
medicine,薬
feeling,感情
happy,幸せな
sad,悲しい
angry,怒った
afraid,怖がって
excited,興奮した
bored,退屈した
tired,疲れた
sorry,申し訳ない
love (noun),愛
love (verb),愛する
like,好む
hate,嫌う
hope,望む
time,時間
hour,時間
minute,分
second,秒
o'clock,時
day,日
week,週
month,月
year,年
century,世紀
Monday,月曜日
Tuesday,火曜日
Wednesday,水曜日
Thursday,木曜日
Friday,金曜日
Saturday,土曜日
Sunday,日曜日
weekend,週末
January,1月
February,2月
March,3月
April,4月
May,5月
June,6月
July,7月
August,8月
September,9月
October,10月
November,11月
December,12月
spring,春
summer,夏
autumn,秋
winter,冬
morning,朝
afternoon,午後
evening,夕方
night,夜
midnight,真夜中
today,今日
tomorrow,明日
yesterday,昨日
now,今
then,それから
early,早く
late,遅く
later,後で
soon,すぐに
again,再び
always,いつも
usually,普通は
often,しばしば
sometimes,時々
never,決して
once,一度
twice,2回
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
ten,10
eleven,11
twelve,12
thirteen,13
fourteen,14
fifteen,15
sixteen,16
seventeen,17
eighteen,18
nineteen,19
twenty,20
thirty,30
forty,40
fifty,50
sixty,60
seventy,70
eighty,80
ninety,90
hundred,100
thousand,1000
million,100万
first,1番目
second,2番目
third,3番目
fourth,4番目
fifth,5番目
many (determiner),たくさんの
many (pronoun),たくさん
much (determiner),多くの
much (pronoun),多く
few (determiner),少しの
few (pronoun),少し
little (determiner),少しの
little (pronoun),少し
more (determiner),より多くの
more (pronoun),より多く
most (determiner),最も多くの
most (pronoun),最も多く
lot (determiner),たくさんの
lot (pronoun),たくさん
enough (determiner),十分な
enough (pronoun),十分
half (determiner),半分の
half (noun),半分
half (pronoun),半分
quarter,4分の1
colour,色
black (adjective),黒い
black (noun),黒
white (adjective),白い
white (noun),白
red (adjective),赤い
red (noun),赤
blue (adjective),青い
blue (noun),青
green (adjective),緑の
green (noun),緑
yellow (adjective),黄色い
yellow (noun),黄色
orange (adjective),オレンジの
orange (noun),オレンジ
brown (adjective),茶色い
brown (noun),茶色
pink (adjective),ピンクの
pink (noun),ピンク
purple (adjective),紫の
purple (noun),紫
grey (adjective),灰色の
grey (noun),灰色
blonde,ブロンドの
big,大きい
large,大きい
small,小さい
little (size),小さい
long,長い
short,短い
tall,高い
high,高い
low,低い
fat,太った
thin,薄い
thick,厚い
food,食べ物
bread,パン
rice,米
meat,肉
chicken,鶏肉
fish,魚
egg,卵
cheese,チーズ
butter,バター
sugar,砂糖
salt,塩
pepper,コショウ
fruit,果物
apple,りんご
banana,バナナ
orange (fruit),オレンジ
vegetable,野菜
potato,じゃがいも
tomato,トマト
carrot,にんじん
onion,玉ねぎ
water,水
milk,牛乳
juice,ジュース
tea,紅茶
coffee,コーヒー
beer,ビール
wine,ワイン
meal,食事
breakfast,朝食
lunch,昼食
dinner,夕食
salad,サラダ
sandwich,サンドイッチ
soup,スープ
cake,ケーキ
chocolate,チョコレート
ice cream,アイスクリーム
menu,メニュー
eat,食べる
drink,飲む
cook,料理する
cooking,料理
taste,味わう
clothes,服
shirt,シャツ
T-shirt,Tシャツ
dress (noun),ドレス
skirt,スカート
trousers,ズボン
jeans,ジーンズ
coat,コート
jacket,ジャケット
sweater,セーター
shoe,靴
boot,ブーツ
hat,帽子
bag,バッグ
wear,着る
dress (verb),着る
home,家
house,家
apartment,アパート
flat,アパート
room,部屋
kitchen,台所
bathroom,バスルーム
bedroom,寝室
toilet,トイレ
table,テーブル
chair,椅子
desk,机
bed,ベッド
bath,お風呂
shower,シャワー
clock,時計
watch,時計
